Movie Title,Runtime,Genre,Award Wins,Award Nominations,Box Office
Green Book,130,"Biography,Comedy,Drama",3,58,85080171
The Shape of Water,123,"Drama, Fantasy, Romance",4,136,63859435
Moonlight,111,Drama,3,231,27854932
Spotlight,129,"Biography, Crime, Drama",2,124,45055776
Birdman or (The Unexpected Virtue of Ignorance),119,"Comedy, Drama",4,192,42340598
12 Years a Slave,134,"Biography, Drama, History",3,242,56671993
Argo,120,"Biography, Drama, Thriller",3,95,136025503
The Artist,100,"Comedy, Drama, Romance",5,162,44671682
The King's Speech,118,"Biography, Drama, History",4,108,138797449
Parasite,132,"Drama, Thriller",4,306,53369749
